File_Path,Link,Chunk
C:\Users\vivie\499-Thesis\CICS_Web_Raw_HTML\QIS_RAW.html,https://www.cics.umass.edu/research/area/quantum-information-systems,
C:\Users\vivie\499-Thesis\CICS_Web_Raw_HTML\Request_EIR_RAW.html,https://www.cics.umass.edu/ventures/request-eir,
C:\Users\vivie\499-Thesis\CICS_Web_Raw_HTML\Research_AI_RAW.html,https://www.cics.umass.edu/research/area/artificial-intelligence,
C:\Users\vivie\499-Thesis\CICS_Web_Raw_HTML\Research_Centers_RAW.html,https://www.cics.umass.edu/research/research-groups,
C:\Users\vivie\499-Thesis\CICS_Web_Raw_HTML\Research_RAW.html,https://www.cics.umass.edu/research,
C:\Users\vivie\499-Thesis\CICS_Web_Raw_HTML\Research_Scientists_Fellows_RAW.html,https://www.cics.umass.edu/people/research,
C:\Users\vivie\499-Thesis\CICS_Web_Raw_HTML\Rising_Stars_RAW.html,https://www.cics.umass.edu/rising-stars,
C:\Users\vivie\499-Thesis\CICS_Web_Raw_HTML\Robotics_CV_Graphics_RAW.html,https://www.cics.umass.edu/research/area/robotics-computer-vision-and-graphics,
C:\Users\vivie\499-Thesis\CICS_Web_Raw_HTML\Security_And_Privacy_RAW.html,https://www.cics.umass.edu/research/area/security-and-privacy,
C:\Users\vivie\499-Thesis\CICS_Web_Raw_HTML\Senior_Celebration_RAW.html,https://www.cics.umass.edu/senior-celebration,
C:\Users\vivie\499-Thesis\CICS_Web_Raw_HTML\Sig_Bits_RAW.html,https://www.cics.umass.edu/about/newsletters,
C:\Users\vivie\499-Thesis\CICS_Web_Raw_HTML\Software_Systems_And_Architecture_RAW.html,https://www.cics.umass.edu/research/area/software-systems-and-architecture,
C:\Users\vivie\499-Thesis\CICS_Web_Raw_HTML\Staff_Directory_RAW.html,https://www.cics.umass.edu/person-types/staff,
C:\Users\vivie\499-Thesis\CICS_Web_Raw_HTML\Staff_Employment_RAW.html,https://www.cics.umass.edu/jobs/staff_jobs,
C:\Users\vivie\499-Thesis\CICS_Web_Raw_HTML\Student_Orgs_RAW.html,https://www.cics.umass.edu/community/student-organizations,
C:\Users\vivie\499-Thesis\CICS_Web_Raw_HTML\Support_CICS_RAW.html,https://www.cics.umass.edu/support,
C:\Users\vivie\499-Thesis\CICS_Web_Raw_HTML\Theoretical_CS_RAW.html,https://cics.umass.edu/research/area/theoretical-computer-science,
C:\Users\vivie\499-Thesis\CICS_Web_Raw_HTML\Transfer_Course_RAW.html,https://www.cics.umass.edu/admissions/course-equivalencies,
C:\Users\vivie\499-Thesis\CICS_Web_Raw_HTML\Transfer_Students_RAW.html,https://www.cics.umass.edu/ugrad-education/transfer-students,
C:\Users\vivie\499-Thesis\CICS_Web_Raw_HTML\Ugrad_Contact_RAW.html,https://www.cics.umass.edu/content/whom-do-i-contact-help,
C:\Users\vivie\499-Thesis\CICS_Web_Raw_HTML\Ugrad_Courses_RAW.html,https://www.cics.umass.edu/ugrad-education/courses,
